Time (s),VmRSS (KB),VmHWM (KB),VmSize (KB),VmSwap (KB),RssAnon (KB),RssFile (KB)
403,2080860,2099380,6891368,4728,398300,1684940
404,2078216,2099380,6891368,4728,398300,1681640
406,2085912,2099380,6891368,4728,398300,1683916
407,2089632,2099380,6891368,4728,398300,1688848
408,2085100,2099380,6891368,4728,398300,1688436
409,2083584,2099380,6891368,4728,398300,1683524
410,2086304,2099380,6891368,4728,398300,1690092
411,2079952,2099380,6891368,4728,398300,1691212
412,2089280,2099380,6891368,4728,398300,1683028
413,2084428,2099380,6891368,4728,398300,1691240
415,2086584,2099380,6891368,4728,398300,1686056
416,2080528,2099380,6891368,4728,398300,1692892
417,2081052,2099380,6891368,4728,398300,1693296
418,2087364,2099380,6891368,4728,398300,1690744
419,2081036,2099380,6891368,4728,398300,1680944
420,2082384,2099380,6891368,4728,398300,1684260
421,2078864,2099380,6891368,4728,398300,1683180
423,2085400,2099380,6891368,4728,398300,1684448
424,2084136,2099380,6891368,4728,398300,1688012
425,2075648,2099380,6891368,4728,398300,1684368
426,2085468,2099380,6891368,4728,398300,1684684
427,2081468,2099380,6891368,4728,398300,1691048
428,2082556,2099380,6891368,4728,398300,1680756
429,2083012,2099380,6891368,4728,398300,1684400
431,2084512,2099380,6891368,4728,398300,1684972
432,2078164,2099380,6891368,4728,398300,1686956
433,2078248,2099380,6891368,4728,398300,1679124
434,2087568,2099380,6891368,4728,398300,1679112
435,2078892,2099380,6891368,4728,398300,1686732
436,2077564,2099380,6891368,4728,398300,1686016
437,2080408,2099380,6891368,4728,398300,1685608
438,2079116,2099380,6891368,4728,398300,1681360
440,2083968,2099380,6891368,4728,398300,1684780
441,2086080,2099380,6891368,4728,398300,1678060
442,2088048,2099380,6891368,4728,398300,1682512
443,2085340,2099380,6891368,4728,398300,1690888
444,2083128,2099380,6891368,4728,398300,1688016
445,2085416,2099380,6891368,4728,398300,1679904
446,2081600,2099380,6891368,4728,398300,1686052
448,2083256,2099380,6891368,4728,398300,1688448
449,2081392,2099380,6891368,4728,398300,1682312
450,2085504,2099380,6891368,4728,398300,1678468
451,2092200,2099380,6891368,4728,398300,1683732
452,2087788,2099380,6891368,4728,398300,1691692
453,2087580,2099380,6891368,4728,398300,1687168
454,2089040,2099380,6891368,4728,398300,1678576
455,2076372,2099380,6891368,4728,398300,1691492
457,2083276,2099380,6891368,4728,398300,1687052
458,2083304,2099380,6891368,4728,398300,1685696
459,2079128,2099380,6891368,4728,398300,1686340
460,2088628,2099380,6891368,4728,398300,1678536
461,2081148,2099380,6891368,4728,398300,1689496
462,2081464,2099380,6891368,4728,398300,1682800
463,2085556,2099380,6891368,4728,398300,1686352
465,2086264,2099380,6891368,4728,398300,1685984
466,2084320,2099380,6891368,4728,398300,1692548
467,2086512,2099380,6891368,4728,398300,1686716
468,2086200,2099380,6891368,4728,398300,1692224
469,2091764,2099380,6891368,4728,398300,1680528
470,2083292,2099380,6891368,4728,398300,1687032
471,2080368,2099380,6891368,4728,398300,1684460
472,2086112,2099380,6891368,4728,398300,1687684
474,2081372,2099380,6891368,4728,398300,1682196
475,2080276,2099380,6891368,4728,398300,1681712
476,2084216,2099380,6891368,4728,398300,1685460
477,2082980,2099380,6891368,4728,398300,1684216
478,2087876,2099380,6891368,4728,398300,1687900
479,2090568,2099380,6891368,4728,398300,1682044
480,2082560,2099380,6891368,4728,398300,1687784
481,2083984,2099380,6891368,4728,398300,1687696
483,2079892,2099380,6891368,4728,398300,1685824
484,2079972,2099380,6891368,4728,398300,1680716
485,2084868,2099380,6891368,4728,398300,1687744
486,2089120,2099380,6891368,4728,398300,1681236
487,2079880,2099380,6891368,4728,398300,1680972
488,2087396,2099380,6891368,4728,398300,1688564
489,2089152,2099380,6891368,4728,398300,1687880
491,2086168,2099380,6891368,4728,398300,1681444
492,2079380,2099380,6891368,4728,398300,1687696
493,2083444,2099380,6891368,4728,398300,1682172
494,2082428,2099380,6891368,4728,398300,1685592
495,2081992,2099380,6891368,4728,398300,1684852
496,2083152,2099380,6891368,4728,398300,1689948
497,2083648,2099380,6891368,4728,398300,1687344
498,2076552,2099380,6891368,4728,398300,1690692
500,2089196,2099380,6891368,4728,398300,1691780
501,2083548,2099380,6891368,4728,398300,1682916
502,2084140,2099380,6891368,4728,398300,1687504
503,2085224,2099380,6891368,4728,398300,1686788
504,2078704,2099380,6891368,4728,398300,1690348
505,2082120,2099380,6891368,4728,398300,1681376
506,2086036,2099380,6891368,4728,398300,1682464
507,2087496,2099380,6891368,4728,398300,1683064
509,2081724,2099380,6891368,4728,398300,1686084
510,2086776,2099380,6891368,4728,398300,1688380
511,2084868,2099380,6891368,4728,398300,1685940
512,2083484,2099380,6891368,4728,398300,1691984
513,2083928,2099380,6891368,4728,398300,1689720
514,2084176,2099380,6891368,4728,398300,1688920
515,2085868,2099380,6891368,4728,398300,1681432
517,2083232,2099380,6891368,4728,398300,1696076
518,2085280,2099380,6891368,4728,398300,1680724
519,2084348,2099380,6891368,4728,398300,1685416
520,2087508,2099380,6891368,4728,398300,1692004
521,2072264,2099380,6891368,4728,398300,1691980
522,2087148,2099380,6891368,4728,398300,1687620
523,2085816,2099380,6891368,4728,398300,1688720
524,2082184,2099380,6891368,4728,398300,1690840
526,2090104,2099380,6891368,4728,398300,1683612
527,2080876,2099380,6891368,4728,398300,1689772
528,2079688,2099380,6891368,4728,398300,1686716
529,2077428,2099380,6891368,4728,398300,1682792
530,2090452,2099380,6891368,4728,398300,1682940
531,2082008,2099380,6891368,4728,398300,1684020
532,2080960,2099380,6891368,4728,398300,1684972
534,2082600,2099380,6891368,4728,398300,1688212
535,2080948,2099380,6891368,4728,398300,1689440
536,2077180,2099380,6891368,4728,398300,1693324
537,2084636,2099380,6891368,4728,398300,1684764
